id,check_time,instance_type,vcpus,sustained_clock_speed_ghz,memory_mib,gpus,on_demand_hibernation_support,burstable_performance_support,current_generation,interruption_rate
213,'03/26/2020 08:37',r5.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
214,'03/26/2020 08:37',r5.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
215,'03/26/2020 08:37',r5dn.24xlarge,96,3.1,786432,0,FALSE,FALSE,TRUE,unlikely
216,'03/26/2020 08:37',m4.16xlarge,64,2.3,262144,0,FALSE,FALSE,TRUE,unlikely
217,'03/26/2020 08:37',m5.16xlarge,64,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
218,'03/26/2020 08:37',m5n.16xlarge,64,3.1,262144,0,FALSE,FALSE,TRUE,unlikely
219,'03/26/2020 08:37',i3en.6xlarge,24,3.1,196608,0,FALSE,FALSE,TRUE,unlikely
220,'03/26/2020 08:37',m4.10xlarge,40,2.4,163840,0,FALSE,FALSE,TRUE,unlikely
221,'03/26/2020 08:37',m3.medium,1,2.5,3840,0,TRUE,FALSE,FALSE,unlikely
222,'03/26/2020 08:37',a1.2xlarge,8,2.3,16384,0,FALSE,FALSE,TRUE,likely
223,'03/26/2020 08:37',t2.2xlarge,8,2.3,32768,0,TRUE,TRUE,TRUE,likely
224,'03/26/2020 08:37',a1.4xlarge,16,2.3,32768,0,FALSE,FALSE,TRUE,likely
225,'03/26/2020 08:37',a1.large,2,2.3,4096,0,FALSE,FALSE,TRUE,likely
226,'03/26/2020 08:37',t2.large,2,2.3,8192,0,TRUE,TRUE,TRUE,likely
227,'03/26/2020 08:37',t2.medium,2,2.3,4096,0,TRUE,TRUE,TRUE,likely
228,'03/26/2020 08:37',a1.medium,1,2.3,2048,0,FALSE,FALSE,TRUE,likely
229,'03/26/2020 08:37',t1.micro,1,0,627,0,FALSE,FALSE,FALSE,likely
230,'03/26/2020 08:37',t1.micro,1,0,627,0,FALSE,FALSE,FALSE,likely
231,'03/26/2020 08:37',a1.xlarge,4,2.3,8192,0,FALSE,FALSE,TRUE,likely
232,'03/26/2020 08:37',t2.xlarge,4,2.3,16384,0,TRUE,TRUE,TRUE,likely
233,'03/26/2020 08:37',t2.xlarge,4,2.3,16384,0,TRUE,TRUE,TRUE,likely
234,'03/26/2020 08:37',m5.metal,96,3.1,393216,0,FALSE,FALSE,TRUE,likely
235,'03/26/2020 08:37',m5d.metal,96,3.1,393216,0,FALSE,FALSE,TRUE,likely
236,'03/26/2020 08:37',m5d.metal,96,3.1,393216,0,FALSE,FALSE,TRUE,likely
237,'03/26/2020 08:37',r5.metal,96,3.1,786432,0,FALSE,FALSE,TRUE,likely
238,'03/26/2020 08:37',r5.metal,96,3.1,786432,0,FALSE,FALSE,TRUE,likely
239,'03/26/2020 08:37',r5d.metal,96,3.1,786432,0,FALSE,FALSE,TRUE,likely
240,'03/26/2020 08:37',r5d.metal,96,3.1,786432,0,FALSE,FALSE,TRUE,likely
241,'03/26/2020 08:37',z1d.metal,48,4,393216,0,FALSE,FALSE,TRUE,likely
242,'03/26/2020 08:37',z1d.metal,48,4,393216,0,FALSE,FALSE,TRUE,likely
243,'03/26/2020 08:37',c5n.4xlarge,16,3.4,43008,0,FALSE,FALSE,TRUE,likely
244,'03/26/2020 08:37',c5n.4xlarge,16,3.4,43008,0,FALSE,FALSE,TRUE,likely
245,'03/26/2020 08:37',g3.4xlarge,16,2.7,124928,1,FALSE,FALSE,TRUE,likely
246,'03/26/2020 08:37',g3.4xlarge,16,2.7,124928,1,FALSE,FALSE,TRUE,likely
247,'03/26/2020 08:37',i3.4xlarge,16,2.3,124928,0,FALSE,FALSE,TRUE,likely
248,'03/26/2020 08:37',m5a.4xlarge,16,2.5,65536,0,FALSE,FALSE,TRUE,likely
249,'03/26/2020 08:37',m5ad.4xlarge,16,2.2,65536,0,FALSE,FALSE,TRUE,likely
250,'03/26/2020 08:37',m5ad.4xlarge,16,2.2,65536,0,FALSE,FALSE,TRUE,likely
251,'03/26/2020 08:37',r5a.4xlarge,16,2.5,131072,0,FALSE,FALSE,TRUE,likely
252,'03/26/2020 08:37',r5a.4xlarge,16,2.5,131072,0,FALSE,FALSE,TRUE,likely
